id,created_at,text
837462033306124288,2017-03-03 00:38:02,b'Voice #banking arrives on #homevirtualassistants - https://t.co/RcELCPuIXA @bankingdotcom #communitybanks\xe2\x80\xa6 https://t.co/oXsisMQ9PA'
837459990860419072,2017-03-03 00:29:55,b'@cmsandefur @amazonecho @nest Stand by it. Do a talk on what classical liberalism has to offer to the worst girl-libertarians.'
837459731220353024,2017-03-03 00:28:53,b'Win an Amazon Echo!! Start a free trial of Life360 Driver Protect March 3-7! #contest #amazonecho To enter:\xe2\x80\xa6 https://t.co/DYVVCzAGiR'
837459673976619008,2017-03-03 00:28:40,"b'Last night I was sitting in a smart house, today I come home from work and someone at @amazonecho has broken the link to my smart switches.'"
837457866231513088,2017-03-03 00:21:29,b'Thank you to @UDaytonLaw for the share and reference! #cyberbyte #amazonecho #amazon https://t.co/1WocvcVS21'
837456095681576960,2017-03-03 00:14:27,b'@PeugeotUK Hi. Will Peugeot be rolling out @amazonecho in near future at all??'
837455266417422336,2017-03-03 00:11:09,b'@amazon I always relied on Amazon for everything I buy #Amazon #amazonkindle #AmazonEcho'
837455025744015362,2017-03-03 00:10:11,b'Connect your home with #GEAppliances and the #AmazonEcho. Experience home cooking with your very own sous-chef!\xe2\x80\xa6 https://t.co/L46lgtNOii'
837451509780660224,2017-03-02 23:56:13,b'RT @adampryor: Building a Voice Advertising Network so @alexadevs finally earn revenue for their hard work https://t.co/5fTWHlYyG5 #AmazonA\xe2\x80\xa6'
837451454633869312,2017-03-02 23:56:00,"b'Listen to us via @amazonecho via Alexa\'s @tunein integration. Search for ""Scene World Podcast""+enjoy! #sceneworld\xe2\x80\xa6 https://t.co/1sbEbwpWxi'"
837449149679288320,2017-03-02 23:46:50,"b""@453Design @amazonecho That goes double for me. Alexa doesn't recognize any of my smart switches or plugs. Maybe Alexa can order me candles."""
837449126673424384,2017-03-02 23:46:45,b'Building a Voice Advertising Network so @alexadevs finally earn revenue for their hard work https://t.co/5fTWHlYyG5 #AmazonAlexa #AmazonEcho'
837448125329494016,2017-03-02 23:42:46,"b'@amazonecho... When saying ""Alexa turn on the lights""... This is a bit awkward....'"
